state,population,,
.Alabama,"5,031,362",,
.Alaska,"732,923",,
.Arizona,"7,179,943",,
.Arkansas,"3,014,195",,
.California,"39,501,653",,
.Colorado,"5,784,865",,
.Connecticut,"3,597,362",,
.Delaware,"992,114",,
.District of Columbia,"670,868",,
.Florida,"21,589,602",,
.Georgia,"10,729,828",,
.Hawaii,"1,451,043",,
.Idaho,"1,849,202",,
.Illinois,"12,786,580",,
.Indiana,"6,788,799",,
.Iowa,"3,190,571",,
.Kansas,"2,937,919",,
.Kentucky,"4,507,445",,
.Louisiana,"4,651,664",,
.Maine,"1,363,557",,
.Maryland,"6,173,205",,
.Massachusetts,"6,995,729",,
.Michigan,"10,069,577",,
.Minnesota,"5,709,852",,
.Mississippi,"2,958,141",,
.Missouri,"6,153,998",,
.Montana,"1,087,075",,
.Nebraska,"1,962,642",,
.Nevada,"3,115,648",,
.New Hampshire,"1,378,587",,
.New Jersey,"9,271,689",,
.New Mexico,"2,118,390",,
.New York,"20,108,296",,
.North Carolina,"10,449,445",,
.North Dakota,"779,518",,
.Ohio,"11,797,517",,
.Oklahoma,"3,964,912",,
.Oregon,"4,244,795",,
.Pennsylvania,"12,994,440",,
.Rhode Island,"1,096,345",,
.South Carolina,"5,131,848",,
.South Dakota,"887,799",,
.Tennessee,"6,925,619",,
.Texas,"29,232,474",,
.Utah,"3,283,785",,
.Vermont,"642,893",,
.Virginia,"8,636,471",,
.Washington,"7,724,031",,
.West Virginia,"1,791,420",,
.Wisconsin,"5,896,271",,
.Wyoming,"577,605",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
